Name,Knockdown,Significant_Strikes_Landed,Significant_Strikes_Attempted,Significant_Strike_%,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Takedowns_Percent,Submission_Attempts,REV,Control_Time,Head_Landed,Head_Attempted,Body_Landed,Body_Attempted,Leg_Landed,Leg_Attempted,Distance_Landed,Distance_Attempted,Clinch_Landed,Clinch_Attempted,Ground_Landed,Ground_Attempted,Winner
Muhammad Mokaev,0,47,104,45%,56,119,3,20,15%,0,0,269,34,85,9,12,4,7,31,81,3,3,13,20,W
Umar Nurmagomedov,0,68,98,69%,145,197,5,5,100%,0,0,686,64,94,0,0,4,4,7,13,0,0,61,85,W
Bekzat Almakhan,1,3,16,18%,5,25,0,0,---,0,0,34,1,13,2,3,0,0,3,16,0,0,0,0,L
Matt Schnell,0,22,78,28%,25,84,0,0,---,0,0,0,18,70,1,5,3,3,21,74,1,4,0,0,L
Steve Erceg,1,34,72,47%,34,72,0,1,0%,0,0,5,24,60,9,11,1,1,30,67,4,5,0,0,W
Eryk Anders,0,23,59,38%,83,147,5,13,38%,0,0,608,14,48,7,9,2,2,12,38,7,9,4,12,W
Jamie Pickett,1,20,55,36%,26,64,0,0,---,0,0,16,11,45,8,9,1,1,12,46,8,8,0,1,L
Vinicius Oliveira,1,67,144,46%,88,170,2,4,50%,0,0,96,39,91,11,20,17,33,49,112,3,13,15,19,W
Benardo Sopaj,0,45,86,52%,92,146,3,4,75%,0,0,268,42,81,1,3,2,2,21,55,0,2,24,29,L
Aiemann Zahabi,0,75,174,43%,77,176,0,0,---,0,0,13,51,130,16,26,8,18,74,172,1,2,0,0,W
Javid Basharat,0,67,205,32%,67,205,0,4,0%,0,0,0,33,147,27,44,7,14,67,203,0,2,0,0,L
Christian Leroy Duncan,0,65,92,70%,75,105,1,2,50%,0,0,135,39,62,8,10,18,20,31,50,12,15,22,27,W
Claudio Ribeiro,0,4,26,15%,13,39,0,0,---,0,0,63,1,19,1,3,2,4,4,24,0,2,0,0,L
Ludovit Klein,1,60,91,65%,63,95,2,3,66%,0,0,27,38,66,21,23,1,2,54,84,2,2,4,5,W
AJ Cunningham,0,36,75,48%,36,77,0,0,---,0,0,26,15,49,10,14,11,12,34,72,2,3,0,0,L
Abdul-Kareem Al-Selwady,0,38,68,55%,50,84,3,7,42%,0,0,164,15,34,8,11,15,23,34,61,4,7,0,0,L
